x,y,token
-32.48403,-12.838653,last
25.012693,-44.834824,sea
39.62336,26.811369,word
46.093067,40.99857,23
-18.268023,-24.638897,still
17.23216,46.731647,If
41.01148,37.436386,saith
-32.53139,-12.8410425,same
37.165817,36.888832,Now
-10.994315,-45.57662,face
6.546514,-35.698822,its
20.01061,-7.1535945,days
-14.29938,10.930612,found
-24.462395,-41.884182,voice
43.972416,10.066607,took
42.16347,10.225297,brought
7.241883,16.455368,world
-31.910404,-30.243378,just
17.662136,1.0318953,another
45.912155,41.034534,24
-20.51812,25.419765,This
64.10889,12.855716,sons
12.201554,37.537434,As
53.949974,-19.735622,three
23.505953,40.612186,hast
35.653267,-1.3653977,forth
14.573793,8.192333,night
53.90854,-3.2768254,side
26.563148,22.111746,therefore
37.14044,-1.3144001,set
-13.126405,0.70691186,There
-5.111187,-52.822826,round
19.372892,-2.4233954,young
49.248886,19.635918,called
-62.071888,14.737777,Miss
54.411892,30.066921,mother
56.593204,22.898296,David
-11.183278,48.027096,hear
-42.548485,-25.466228,cried
-25.26238,-50.53533,back
-13.454738,-31.828835,seemed
45.986618,41.059917,25
9.79021,10.19555,Of
46.318817,14.350594,pass
31.482025,-20.13006,under
-31.977503,-29.890783,right
17.799654,24.727562,love
-19.30104,38.68213,tell
-1.5912843,3.5257232,while
45.98402,41.49577,26
39.751392,26.740797,words
16.000086,37.98015,When
-21.945383,37.35245,look
-24.791113,30.108269,quite
-53.93297,15.035566,soon
21.416582,41.10743,thine
51.881912,1.9187913,city
53.20469,-16.190594,years
-22.41177,-38.51402,left
26.575382,-20.352995,hands
-5.0387683,16.076044,both
-24.549326,28.188898,always
-20.544615,-47.81815,looked
35.839066,26.197828,Jesus
34.570602,17.239168,neither
-13.564267,43.144527,Oh
-50.27331,-10.465619,herself
20.872208,41.498623,mine
46.25571,40.674473,27
44.262043,5.5527983,together
46.878403,22.618301,sent
-6.944699,-5.8975267,whole
21.441145,31.802116,bring
37.605213,12.262884,woman
-39.64794,-10.503763,seen
-17.862537,42.635204,No
-26.439137,32.712418,.--
45.66187,-11.688387,thereof
3.7436101,-54.869827,whale
-7.700929,48.272717,We
-11.156228,47.930737,speak
-20.16648,-53.208378,stood
-13.607006,11.015882,till
43.890575,10.097988,gave
26.098078,-15.85475,high
23.544064,15.193132,soul
-30.386871,40.58028,sure
46.115936,40.861794,28
-1.3130677,-12.427647,far
4.907752,54.159344,My
-42.90667,-31.06865,something
22.579393,-9.702521,work
33.189552,-10.61464,fire
-8.521163,-7.3742795,end
-15.875258,-20.646896,half
-59.199226,18.587011,Emma
-55.362453,-4.2554226,morning
47.00595,27.518583,Moses
-14.132327,10.111806,once
-9.3794,42.753033,How
13.053355,27.676228,death
35.34429,12.450049,given
43.81603,12.57656,behold
-14.62881,8.199079,part
39.140656,-9.684635,eat
-26.236698,28.218042,better
23.495031,41.01912,Thou
57.89568,1.5676064,Jerusalem
58.133625,1.464633,Judah
27.090181,28.724558,according
-7.660735,37.900593,poor
49.87412,25.448387,answered
46.374985,41.5211,29
28.149391,18.305922,evil
35.79671,-9.731935,water
-18.753836,47.99037,cannot
21.932875,-9.413881,full
-25.25234,30.253794,enough
-28.933233,-30.254648,rather
7.034102,12.303541,His
9.966714,11.786863,thus
-33.466526,43.72488,told
-27.336464,34.040253,myself
-53.589657,-2.0282254,going
44.072697,5.6134443,themselves
32.001568,44.5804,Let
54.59449,-17.944828,hundred
43.941753,-9.113878,offering
27.240437,-30.762896,light
22.500206,-28.09158,With
-23.505934,-47.392418,door
-23.365654,30.977306,indeed
-43.243423,-8.899418,moment
-8.918535,15.765653,body
-26.350903,-41.53278,began
54.71212,-17.994095,thousand
54.424816,30.016481,brother
-33.369545,26.63873,mind
3.2480004,1.3581996,rest
-2.2730267,-3.893999,between
-12.348267,39.139492,!--
8.425341,-16.422783,each
-33.862408,43.71636,knew
14.044919,-0.7197932,All
-27.70137,11.971711,sight
46.19235,41.11146,30
27.458937,0.5807595,heaven
39.2316,14.397449,dead
50.596024,17.767523,whose
46.18222,40.988117,31
-13.024915,-32.380386,almost
-23.180977,-39.560455,turned
3.451808,-54.80433,ship
-20.242714,37.347492,find
-24.409887,-46.343277,room
54.425495,30.024488,wife
29.486027,19.747381,law
32.95614,-0.115070015,blood
-9.5762205,42.843773,Why
-25.270262,35.405556,friend
63.750107,24.597311,priest
5.335421,18.6865,gone
-14.846596,38.489594,don
-28.890333,1.8717606,having
-59.028828,18.614223,Elinor
-17.445107,30.378326,get
27.11365,30.219618,keep
-52.435734,1.9714473,home
-14.333975,38.5894,ll
3.3143635,11.1613455,new
-27.385563,37.162987,hope
14.455311,-53.554928,white
-45.896984,-8.424043,few
-24.624994,30.080645,really
46.133793,41.227436,32
44.802364,26.006874,spake
-15.774803,44.721283,dear
45.882385,-18.87863,gold
26.775213,42.56977,Who
-26.991974,35.90049,believe
41.523254,10.212214,taken
17.655733,31.8596,Father
30.166294,1.7926269,stand
-2.905217,42.147823,none
47.806038,-0.2033896,Egypt
-59.026978,18.605942,Marianne
23.684084,40.809143,art
33.452793,35.79638,Behold
24.460798,15.141208,mouth
19.044394,34.495613,call
26.881,22.712963,fear
-6.204097,44.69255,known
32.552902,-16.14787,sword
68.91879,6.502231,year
36.232235,-22.940107,feet
-43.71904,-2.7917073,felt
54.083366,-18.546856,four
8.640571,-34.2402,air
38.86427,16.643196,servant
45.828396,40.717567,33
18.712505,2.709632,strong
-27.634176,-48.934692,Ahab
-49.063324,30.62415,present
46.871033,8.590167,near
35.825264,26.192215,Christ
54.415245,30.069214,sister
-32.90491,43.896988,asked
-27.74502,-5.631304,sort
37.16842,37.852684,Thus
34.744823,18.435665,peace
-55.4416,22.930626,however
52.01069,16.420135,servants
-16.872486,42.543808,Well
-7.7967114,-9.163957,within
30.103266,23.730349,power
-19.846073,32.77425,best
33.341434,-3.7825353,cast
-11.1852,38.197544,does
49.844692,30.318739,fathers
-20.632235,-47.939564,looking
58.999844,21.276573,brethren
-9.741248,42.724194,why
54.201065,-18.236406,five
-59.058083,18.581758,Anne
-57.937202,13.784128,Captain
-16.422302,-27.821213,small
-20.18826,-53.17661,sat
54.46166,29.98595,daughter
-18.914719,38.20383,mean
46.45148,41.29804,34
-39.50407,-28.51973,Turnbull
-59.38493,8.577237,Sir
-22.321959,43.090893,else
-15.19337,-41.63172,open
-18.331896,37.204887,want
-4.5604057,39.163975,whether
-26.90271,26.138437,happy
22.287682,25.50081,live
53.123127,-17.784023,seven
24.017786,30.639591,turn
31.428513,-14.388476,cut
20.044394,33.669098,return
-54.135757,-0.44954333,next
-40.961918,-31.123838,",'"
23.978292,-3.436651,fell
37.66843,12.306657,child
44.21314,-5.6471457,holy
26.649315,-32.147057,sun
42.593132,-27.33046,above
60.345837,5.3723407,cities
-11.758246,-33.57885,At
-39.443584,-28.459803,Syme
48.727413,18.622652,certain
-49.257404,30.801609,least
18.139204,29.520313,glory
-16.93237,42.496403,Yes
32.951942,-0.10709903,flesh
30.46838,-14.776053,ground
-53.68703,-1.9880122,coming
-32.00189,23.908304,manner
11.318039,26.191723,hold
-59.2388,18.575058,Harriet
20.99361,24.010176,truth
22.870878,15.539442,spirit
4.9121666,50.378956,King
44.710835,4.103078,passed
-22.646404,27.52742,perhaps
-15.703483,41.50674,sir
12.808928,39.364883,Not
24.126173,24.803917,cause
35.698635,18.023104,sin
-25.108624,43.41665,afraid
-26.459227,37.399246,wish
-32.22562,36.32033,leave
-31.248117,-33.95624,got
-23.104956,31.69258,matter
-29.364908,25.769768,since
27.148046,30.46572,walk
-55.36607,-4.194586,evening
-42.809555,-25.884691,"--"""
46.990753,27.513323,commanded
-10.829309,-44.701546,eye
14.3656645,40.13769,By
24.88585,-9.215961,lay
33.025066,35.261906,Therefore
-44.024048,-25.559963,replied
43.6456,2.0343678,until
-32.389076,-34.46552,boy
56.725857,27.31381,John
32.36062,3.3587396,fall
-53.947308,9.085346,family
46.601738,40.832012,36
1.3388819,34.60079,alone
-21.606194,12.063426,others
-16.44843,39.47478,m
-34.909733,5.126917,kind
-31.686234,29.259478,less
0.7919808,43.18183,true
22.756227,25.220291,die
14.925054,46.17644,Is
-25.439392,40.414776,answer
46.4161,40.98928,35
-13.675265,-43.495422,behind
-20.566803,-49.202023,towards
54.203197,-17.728363,twenty
-8.756504,-9.388881,times
-50.050896,-19.812452,)
53.17689,-0.8740935,toward
33.494186,-28.16732,tree
-51.553097,-1.1892564,hour
39.185444,-9.761095,bread
39.00149,-9.716688,drink
10.204577,9.240315,Heaven
54.28499,-18.156029,ten
14.444611,-53.647926,black
46.6552,-1.3359164,midst
14.193778,-0.4846446,These
-2.3589053,-54.1191,along
32.07157,-32.29352,waters
45.97526,-18.82164,silver
34.18711,39.02781,pray
52.388004,6.290925,war
19.60077,27.923447,money
34.09165,28.329199,One
-62.142666,12.880911,Weston
21.112396,36.040115,bear
17.040314,47.998024,Do
68.357414,4.879802,second
17.079092,9.803714,kept
-32.476585,25.211807,friends
55.686436,23.871002,Saul
62.299103,13.523398,priests
-16.419006,-27.837801,large
-59.8329,12.196511,Lady
-28.113665,30.836754,feel
-39.51302,-28.502756,MacIan
51.663143,8.412115,mighty
-28.196632,29.578945,reason
16.88971,16.179401,joy
7.137646,6.3357234,living
34.472054,40.020077,Come
46.36508,40.35278,37
30.264515,17.772816,wicked
-33.892582,-14.28218,course
38.812508,-13.393746,fine
35.924015,-7.1568403,field
14.20533,-13.786776,From
-27.089354,35.90647,understand
-25.185854,41.812923,help
40.01611,24.88273,spoken
-37.185966,27.749678,person
-43.858627,29.489538,pleasure
-24.479858,27.97921,often
14.371674,40.208878,Or
45.11419,10.034396,returned
-28.225014,-38.730957,garden
-24.813173,25.146595,ready
14.047345,50.786343,haue
-23.784899,39.16998,ask
50.582832,2.0419333,country
45.407017,-9.080606,altar
37.632088,-0.0044685467,dwell
43.999504,-8.995911,burnt
-35.479702,34.224148,able
5.2985,-39.33654,dark
-40.753017,-31.046421,Alice
29.987421,-15.460591,broken
3.330863,-54.251183,boat
42.149338,27.549934,written
-33.451477,-10.694374,short
40.06167,6.484344,nations
20.112337,46.304756,Where
-62.274464,12.925663,Knightley
52.623383,10.949929,kings
13.230874,-13.026996,On
46.51467,40.13389,38
19.219175,-2.1848483,women
24.686764,-8.703917,bed
-30.761414,-11.196216,strange
-62.21805,12.9680605,Elton
-22.078876,42.90495,anything
-29.269026,35.054893,ought
-15.887708,-47.019833,table
42.404118,10.42785,laid
-59.4362,-17.605131,}
49.844864,30.310617,Jacob
24.505606,-25.95664,sweet
-26.22132,-43.785965,ran
22.01743,19.719887,strength
-2.6590369,-12.6861105,itself
19.392576,24.462297,faith
47.557064,-5.880464,congregation
29.922014,25.855324,judgment
33.71403,-28.89324,trees
-12.060016,38.941525,?--
-22.70929,25.874474,business
51.361454,-5.8181367,gate
62.141914,13.726834,chief
-47.370586,15.145968,Her
-19.423523,-41.57012,walked
-44.943058,9.9921465,received
21.438099,31.811445,send
19.692892,34.193695,meet
15.493846,39.20279,Yet
-38.421978,-36.311913,Brown
18.209396,31.09354,Son
29.536835,24.709883,kingdom
46.48935,40.052933,40
-30.507826,40.612453,glad
42.15975,27.563906,book
19.616514,23.17011,works
26.942526,17.517752,wise
-34.329227,27.4539,either
61.12419,7.941166,Ham
13.316798,-54.794636,hair
-26.839628,33.426155,certainly
10.488609,2.909682,",)"
63.541203,22.808832,Aaron
50.622906,-4.809472,wall
-40.18444,33.464962,doubt
-20.865662,45.059986,remember
-36.771038,30.381702,;--
14.331545,-53.552402,red
-15.412874,-42.203888,opened
54.1174,-18.147121,six
32.577602,24.618134,honour
-18.538656,26.4324,lost
-18.444445,-46.396614,suddenly
-40.455906,-23.927319,",--"
-19.957785,38.366043,suppose
20.063635,24.5868,knowledge
-11.360267,-58.33022,arm
-42.69264,-32.200775,.'
19.362467,42.3837,Which
42.37826,-10.463085,meat
-37.2034,-20.08872,Here
46.424664,40.21477,39
-21.134212,37.26392,talk
