x,y,token
14.890949,7.2801757,heaven
24.231277,-5.538285,set
57.199142,-0.937344,side
-11.3399105,46.99691,round
17.341703,-5.92748,young
-9.338332,-51.7761,tell
-33.387424,20.480297,right
45.268982,-25.76369,called
4.4324555,33.499348,under
-20.10173,54.558018,back
6.5207567,-31.317932,love
52.48101,-22.91977,david
9.552439,-25.994015,neither
-44.049156,31.891628,cried
42.89988,-20.019949,pass
-6.810847,41.951805,seemed
-51.486366,0.9955999,soon
-57.229206,12.632018,quite
40.251804,-40.905087,25
-47.28357,19.605516,oh
-3.5784364,-2.5719466,both
-13.652085,10.950638,whale
34.047188,-28.231604,words
50.848038,-3.0226312,city
25.776207,-46.923096,thine
39.73413,-40.988373,26
20.82355,-6.058478,left
25.5798,-46.979828,mine
-11.080818,21.553534,till
-23.94604,-29.483265,always
23.686987,10.057015,hands
12.675129,-46.6684,speak
1.838987,-42.40301,bring
-29.212055,48.221184,looked
4.006394,-30.035471,death
-56.89939,24.74369,herself
20.495123,-9.620385,woman
40.515125,-41.25727,27
12.843542,30.768053,far
-35.391556,20.80112,something
-27.957365,13.560035,whole
-5.200238,-19.399414,seen
-27.924913,30.325216,once
-7.4104333,60.585884,stood
7.428251,-16.705555,thus
-22.78959,-34.113846,.--
42.56632,-2.289298,thereof
-25.505194,45.117695,half
18.540146,-3.3301382,gave
16.872557,-13.688496,soul
-7.7271442,-36.285137,poor
-0.19553263,-18.745785,years
38.562046,-21.668,sent
-1.5693293,16.104855,end
40.76488,-40.68062,28
33.69478,8.332164,fire
26.0201,-5.5548587,work
22.38527,12.307098,high
35.160004,-11.619828,together
-45.40658,9.281991,morning
-28.491123,-48.37922,better
-24.1532,-32.388252,indeed
16.246637,-44.97221,according
-60.572613,-18.900366,emma
48.013935,-21.654789,moses
25.04273,-3.2823725,part
37.52631,0.7987255,eat
38.300278,-13.436907,given
-17.146051,-34.641033,sure
-47.108055,14.616685,don_t
34.299446,-36.19524,saith
50.75798,-7.6076064,jerusalem
12.589558,4.1323457,full
1.6896538,-9.469272,whose
50.6481,-7.668371,judah
30.055164,12.337891,water
-9.028765,-40.41387,cannot
12.478799,-30.062454,evil
-25.04188,26.23284,each
-38.418365,27.177715,rather
-57.28285,12.579686,enough
51.55247,-35.407646,brother
40.482918,-29.15055,answered
40.265827,-41.38153,29
-17.89097,-40.707657,myself
-39.41234,13.165117,going
28.28979,40.490204,light
3.7424455,7.9638643,new
42.904415,-28.099642,jesus
22.936623,51.584496,white
-4.830416,-23.00465,told
35.169903,-11.619844,themselves
1.0994117,17.515306,between
-4.7193437,31.966423,almost
-23.136452,-24.83127,mind
-8.063631,-10.774285,body
-22.835646,45.45822,began
-14.91662,54.26322,door
51.631207,-35.4068,wife
1.7182184,-14.309247,rest
-41.937054,5.6866674,moment
25.558582,-16.565245,dead
-21.756163,-33.912907,friend
-4.991974,-23.149612,knew
22.747013,-30.167976,spirit
-46.98965,19.960634,!--
5.312156,56.524105,ship
7.7903676,-18.385975,sight
-1.7658907,-40.736546,get
40.276463,-39.926098,30
18.289268,-43.504925,law
28.984512,-4.818653,blood
-51.54656,19.989126,dear
-49.184555,19.960024,sir
-23.699482,-4.4775667,having
19.644611,-4.0229855,turned
-13.702388,-39.73428,find
40.670654,-39.92366,31
21.574024,-21.87031,stand
6.9271836,-35.877785,keep
30.082375,-45.350433,art
52.069584,-19.869452,priest
-61.761147,-11.808479,mrs
19.917564,-6.256204,gone
-49.11973,15.397178,t
66.16918,2.9479237,hundred
0.6017644,-33.768482,none
-59.102356,-18.844574,elinor
2.1298902,-28.093042,fear
-50.14392,-0.12737018,home
-21.846224,-47.378483,hope
-47.084244,14.615354,ll
-49.386383,19.976114,yes
-27.113075,-30.11011,however
-15.716043,54.887627,room
-23.915234,-30.114885,really
45.704765,17.495462,gold
-9.215519,-45.11928,call
44.86314,-28.458906,spake
-15.54358,-42.400993,believe
40.60513,-39.621708,32
24.884844,7.0891423,sword
23.505396,-12.779753,taken
-20.079813,-19.846525,perhaps
-59.119984,-18.661516,marianne
50.456627,-6.338006,egypt
65.804596,2.9459581,thousand
-14.313155,-31.719501,does
15.526898,-12.30445,mouth
67.479004,-12.823023,year
68.643845,3.7434647,four
0.059440136,-11.720291,within
-7.998504,-28.40464,known
18.210638,-9.461789,strong
15.583216,56.81745,feet
6.5029154,-13.0110445,power
22.907747,34.27017,air
-24.91312,48.385536,captain
-43.054558,1.7158741,felt
51.44411,-35.46367,sister
43.69403,-33.179337,servant
-23.561394,48.46928,ahab
-18.134947,-14.54333,present
44.042442,-15.884524,near
-18.046616,-22.883303,whether
38.351524,-7.566751,holy
30.088621,2.6641815,cast
41.188908,-39.870235,33
38.10994,-15.264832,fathers
-5.1793737,-21.69781,asked
-28.048073,8.957221,sort
-16.107649,-29.079529,best
15.102558,-5.0334444,turn
49.268196,-24.66795,servants
-29.277138,48.154186,looking
68.062904,3.3737955,five
40.355484,-34.335426,brethren
-17.212112,-36.921658,mean
51.474148,-35.27896,daughter
-28.93124,-44.14193,happy
-13.792474,23.806606,small
-13.756576,50.818684,open
-37.49335,40.095585,boy
-42.42542,10.726124,next
66.74648,4.2874293,seven
10.182539,-20.659662,peace
-7.475901,60.656292,sat
28.226887,39.60274,sun
4.52648,-45.13959,return
-59.349552,-18.65771,anne
-61.950745,-11.695467,miss
-29.794771,18.075914,hold
13.340768,7.5289783,above
-19.763256,-36.833427,want
-17.414528,-26.91837,else
20.58839,-9.608384,child
2.6144876,-37.422607,live
40.933136,-39.26397,34
-37.97149,35.490955,turnbull
-12.248285,-31.119314,since
19.959507,2.8678265,fell
-21.608294,6.4632697,few
-42.57772,34.99682,",'"
10.882304,-49.620453,pray
16.071157,-34.998432,truth
25.02183,-33.39359,glory
-30.18145,2.2591946,certain
59.117702,-7.561683,cities
-37.904766,35.42986,syme
-52.46382,23.95779,lady
4.794064,-49.44266,true
-39.680267,13.039841,coming
-21.759031,-14.978256,least
-25.443827,-1.6750581,others
28.190388,9.153703,lay
28.78899,9.824444,ground
-10.353414,-43.29094,leave
29.123657,-4.77922,flesh
30.456007,8.760953,until
-40.857574,-18.98796,manner
-9.49245,22.036871,passed
10.081668,-34.621155,cause
-60.607136,-18.911673,harriet
7.1191335,-36.729977,walk
-8.39964,32.437828,eye
-16.251938,-24.957428,matter
1.0424541,-27.473372,afraid
0.2175458,-46.813892,alone
-45.418476,9.325839,evening
-21.9944,-39.287754,wish
-38.49854,40.582497,got
21.32691,-18.163214,fall
-35.748863,8.909359,family
47.903313,-21.57049,commanded
-42.67505,32.51,"--"""
-6.028802,16.580494,less
4.100214,-59.760784,enter
-5.8205442,-38.130974,friends
-10.773216,53.158333,towards
-43.291996,30.780544,replied
-14.801815,-44.231106,answer
41.47227,-40.91823,36
-15.626213,-4.5802073,kind
-11.479376,53.25421,behind
67.29389,3.0323215,twenty
37.57856,0.82214725,drink
56.008812,-2.8117912,toward
2.6500394,-37.48435,die
22.940077,51.698837,black
44.77149,-12.305914,war
-20.442133,7.112452,times
40.90067,-41.308914,35
7.1070037,-33.834496,bear
69.29239,-14.815637,second
-52.96009,-0.5713468,hour
38.50056,-17.569284,book
7.3040133,41.312447,along
49.16758,-3.7785065,midst
-0.13975058,-39.020996,money
-4.543925,-62.831398,haue
-34.2372,-45.570774,reason
45.69426,17.472282,silver
38.922626,-37.18011,thus_saith
-49.306015,18.067173,m
30.79867,18.07406,waters
6.0113473,-20.519768,joy
37.817657,13.351187,field
-6.803362,-25.347013,kept
-13.79996,23.811268,large
55.011337,-27.9399,saul
-19.819921,-38.5742,ask
43.397232,-12.900802,mighty
42.45815,7.0565424,country
23.184813,51.192127,red
-11.206084,-43.111683,help
-7.141756,-10.514799,living
-26.84921,-34.41843,feel
-37.967777,35.466927,macian
48.855663,-11.822271,kings
-12.409121,-47.27846,remember
34.69816,21.507994,tree
-24.566914,-28.983477,often
